propertyCode,numPhotos,floor,price,propertyType,size,exterior,rooms,bathrooms,distance,hasVideo,status,newDevelopment,hasLift,hasPlan,has3DTour,has360,hasStaging,topPlus,highlight.groupDescription,parkingSpace.hasParkingSpace,price_m2_oct24,monthly_var,quart_var,annual_var,price_m2_historical_max,var_from_max,rooms+bathrooms,room.to.size.ratio,room+bathrooms.to.size.ratio,amenity.score,neighborhood_El Besòs,neighborhood_El Camp d'En Grassot i Gràcia Nova,neighborhood_El Carmel,neighborhood_El Clot,neighborhood_El Coll,neighborhood_El Congrés i els Indians,neighborhood_El Gòtic,neighborhood_El Poble Sec - Parc de Montjuïc,neighborhood_El Poblenou,neighborhood_El Putxet i el Farró,neighborhood_Horta,neighborhood_L'Antiga Esquerra de l'Eixample,neighborhood_La Barceloneta,neighborhood_La Dreta de l'Eixample,neighborhood_La Maternitat i Sant Ramon,neighborhood_La Nova Esquerra de l'Eixample,neighborhood_La Prosperitat,neighborhood_La Sagrada Família,neighborhood_La Sagrera,neighborhood_La Salut,neighborhood_La Teixonera,neighborhood_Les Roquetes,neighborhood_Les Tres Torres,neighborhood_Pedralbes,neighborhood_Provençals del Poblenou,neighborhood_Sant Antoni,neighborhood_Sant Gervasi - Galvany,neighborhood_Sant Pere - Santa Caterina i la Ribera,neighborhood_Sants,neighborhood_Sants - Badal,neighborhood_Sarrià,neighborhood_Vallcarca i els Penitents,neighborhood_Verdun,neighborhood_Vila de Gràcia,neighborhood_Vilapicina i la Torre Llobeta,district_Eixample,district_Gràcia,district_Horta Guinardó,district_Les Corts,district_Nou Barris,district_Sant Andreu,district_Sant Martí,district_Sants-Montjuïc,district_Sarrià-Sant Gervasi
105334146,16,2.0,465000,2,94.0,1,2,2,3528,0,1,0,1,0,0,0,0,0,0.0,1,4321,0.037,0.036,0.141,4321,0.0,4,0.02127659574468085,0.0425531914893617,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
105531023,19,-1.0,217000,1,84.0,1,4,1,4122,0,1,0,0,0,0,0,0,0,0.0,0,3442,0.014,0.035,0.072,3442,0.0,5,0.047619047619047616,0.05952380952380952,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
106728081,33,4.0,345000,1,95.0,1,3,1,4807,1,1,0,1,1,0,0,0,0,0.0,0,3536,0.02,0.049,0.128,3536,0.0,4,0.031578947368421054,0.042105263157894736,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
106039363,31,6.0,860000,1,122.0,1,4,2,3833,1,1,0,1,1,0,0,0,0,0.0,1,5724,0.018,0.036,0.137,5724,0.0,6,0.03278688524590164,0.04918032786885246,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
106366932,31,4.0,860000,1,122.0,1,4,2,3988,1,2,0,1,1,0,0,0,0,0.0,1,5724,0.018,0.036,0.137,5724,0.0,6,0.03278688524590164,0.04918032786885246,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
105799121,30,4.0,306000,2,34.0,1,1,1,2582,1,1,0,1,1,0,0,0,0,0.0,0,4973,0.002,0.002,0.088,4973,0.0,2,0.029411764705882353,0.058823529411764705,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
106526692,33,1.0,339999,1,75.0,1,3,1,2276,1,1,0,1,1,0,0,0,0,0.0,0,5674,0.003,0.026,0.122,5674,0.0,4,0.04,0.05333333333333334,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
103924411,31,1.0,472000,1,109.0,1,5,3,1743,0,1,0,1,1,0,0,0,0,0.0,0,5674,0.003,0.026,0.122,5674,0.0,8,0.045871559633027525,0.07339449541284404,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
105922287,29,2.0,474000,1,75.0,1,2,2,323,1,1,0,1,1,0,1,0,0,0.0,0,4571,0.018,0.036,0.061,4600,-0.006,4,0.02666666666666667,0.05333333333333334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105865964,16,3.0,480000,1,99.0,1,3,2,3245,0,1,0,1,1,0,0,0,0,0.0,0,4973,0.002,0.002,0.088,4973,0.0,5,0.030303030303030304,0.050505050505050504,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105865002,51,2.0,480000,1,93.0,1,4,2,3004,0,1,0,1,0,0,0,0,0,0.0,0,4973,0.002,0.002,0.088,4973,0.0,6,0.043010752688172046,0.06451612903225806,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105305607,45,5.0,780000,1,150.0,1,3,2,1400,1,2,0,1,1,0,0,0,0,0.0,0,5674,0.003,0.026,0.122,5674,0.0,5,0.02,0.03333333333333333,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
105849016,56,2.0,480000,1,95.0,1,3,2,2991,0,1,0,1,1,0,0,0,0,0.0,0,4973,0.002,0.002,0.088,4973,0.0,5,0.031578947368421054,0.05263157894736842,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105531066,3,1.0,227000,1,84.0,1,4,1,4098,0,1,0,0,0,0,0,0,0,0.0,0,3442,0.014,0.035,0.072,3442,0.0,5,0.047619047619047616,0.05952380952380952,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
